date,address,type,WAT,Confidence,risk_level,risk_description,,have?
2023-11-09,0xc1f024ddc894b00b3e5ff2396ff2cd6ed2fc53d6,General_Trending_Risky,2285,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xc1f024ddc894b00b3e5ff2396ff2cd6ed2fc53d6""}]",,No
2023-11-09,0x1f1c90aeb2fd13ea972f0a71e35c0753848e3db0,General_Trending_Risky,2227,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0x20f663cea80face82acdfa3aae6862d246ce0333,General_Trending_Risky,2158,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/detail/drip""}]",,No
2023-11-09,0x111120a4cfacf4c78e0d6729274fd5a5ae2b1111,General_Trending_Risky,2138,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x111120a4cfacf4c78e0d6729274fd5a5ae2b1111""}]",,No
2023-11-09,0x5a87771c0522191ed915fb669b04470d801fae1c,General_Trending_Risky,2122,70,3,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]",,No
2023-11-09,0xd27aaeead8fde08ba292c1e08f53a14c00e7f7c8,General_Trending_Risky,1981,70,3,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]",,No
2023-11-09,0x9db65123aa185811e50f8b626a7d4799c39ea4d5,General_Trending_Risky,1909,70,3,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0x684d041293a10dbf6ff6ee6b4f5bee56513cc3f4,General_Trending_Risky,1620,70,3,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]",,No
2023-11-09,0x7062f2e2b917ed14b2b0833e9e0278cb4bc62c69,General_Trending_Risky,1583,70,3,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]",,No
2023-11-09,0x51836a753e344257b361519e948ffcaf5fb8d521,General_Trending_Risky,1558,85,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,General_Trending_Risky,1550,70,3,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0xa4838122c683f732289805fc3c207febd55babdd,General_Trending_Risky,1534,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xa4838122c683f732289805fc3c207febd55babdd""}]",,No
