date,address,type,WAT,risk_level,risk_description
2023-08-21,0x60322971a672b81bcce5947706d22c19daecf6fb,high_tvl_pool_tokens,747,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x9a2478c4036548864d96a97fbf93f6a3341fedac,high_tvl_pool_tokens,600,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x9767c8e438aa18f550208e6d1fdf5f43541cc2c8,high_tvl_pool_tokens,625,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x111120a4cfacf4c78e0d6729274fd5a5ae2b1111,high_tvl_pool_tokens,615,4,"the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk.;the contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-08-21,0x11ac6af070fe1991a457c56fb85c577efe57f0e4,high_tvl_pool_tokens,510,4,"the address is blacklisted based on threat intelligence or manual analysis.;the contract contains some backdoor functon which always means the owner has some potentially malicious, please be careful of rugpull risk."
2023-08-21,0xf33893de6eb6ae9a67442e066ae9abd228f5290c,high_tvl_pool_tokens,622,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0xac68931b666e086e9de380cfdb0fb5704a35dc2d,high_tvl_pool_tokens,511,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x5b6bf0c7f989de824677cfbd507d9635965e9cd3,high_tvl_pool_tokens,640,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0xd7791c6860a315c2ad9fcb13149f408f58f529fe,high_tvl_pool_tokens,652,4,"the address is blacklisted based on threat intelligence or manual analysis.;the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk.;the contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-08-21,0x83f41c98d028842ccc8060b4ec7738df3eb9a2e6,high_tvl_pool_tokens,506,4,"the contract contains some backdoor functon which always means the owner has some potentially malicious, please be careful of rugpull risk."
2023-08-21,0xc632f90affec7121120275610bf17df9963f181c,high_tvl_pool_tokens,477,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x8772eb993841c335185afc1a55c1d9347099e2e9,high_tvl_pool_tokens,459,4,"the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk.;the contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-08-21,0x4c3145cb6285eb269c37685e05ff8c6684a70ec7,high_tvl_pool_tokens,434,5,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x89eb16377f3d10d39b23df7c02ae94ac3a81d389,high_tvl_pool_tokens,412,4,"the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk.;the contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-08-21,0xed470f8deef3b19b91d00d821f0207e9f2310225,high_tvl_pool_tokens,783,4,"the address is blacklisted based on threat intelligence or manual analysis.;the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk.;the contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-08-21,0xa4838122c683f732289805fc3c207febd55babdd,high_tvl_pool_tokens,741,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x8624b3a4f29620390d06286df207f6791c243389,high_tvl_pool_tokens,554,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x43b44d4b278c43c4d3251374337e1c6aa10fa76f,high_tvl_pool_tokens,325,4,"the contract contains some backdoor functon which always means the owner has some potentially malicious, please be careful of rugpull risk."
2023-08-21,0x9e9bef94795bfe87a11a0369b4e0c3b60a6fcf2b,high_tvl_pool_tokens,391,5,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x33559c756efbcf75c6c29b85816a19a7ecd9bd46,high_tvl_pool_tokens,299,4,"the contract contains some backdoor functon which always means the owner has some potentially malicious, please be careful of rugpull risk."
2023-08-21,0x05243e4e2c041d24408d0751c1031e9b435445da,high_tvl_pool_tokens,339,4,the address is blacklisted based on threat intelligence or manual analysis.
2023-08-21,0x47f41a2b6e3cb035bb051f187f1908f51b7e5958,high_tvl_pool_tokens,324,4,"the contract contains some backdoor functon which always means the owner has some potentially malicious, please be careful of rugpull risk.;the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk.;the contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-08-21,0x9a3321e1acd3b9f6debee5e042dd2411a1742002,high_tvl_pool_tokens,350,4,"the address is blacklisted based on threat intelligence or manual analysis.;the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk."
2023-08-21,0xc89c57e38dcaba62501d53e5ea490945d1d8f346,high_tvl_pool_tokens,279,4,"the contract contains some backdoor functon which always means the owner has some potentially malicious, please be careful of rugpull risk."
2023-08-21,0xc7cba05f673cfab408a9fb0ef5fcc3c25a4abeba,high_tvl_pool_tokens,299,4,"the contract contains some backdoor functon which always means the owner has some potentially malicious, please be careful of rugpull risk."
2023-08-21,0xe4fae3faa8300810c835970b9187c268f55d998f,high_tvl_pool_tokens,277,4,"the address is blacklisted based on threat intelligence or manual analysis.;the contract contains some previliged role function which always means some centralization risk, please be careful of rugpull risk."
