update_dt,chain_id,address,risk_level,confidence,risk_descriptions,ref_link
2023-08-24,56,0xfcbf524c67d1eb64280e3d8e584f8b4699772169,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x69ca0292c6270b0749f2d2260c8a82c1417d0af7,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xcfa40a7ae369ba43b71348a66712f44e37a5b0a1,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xcc42d35647cd144223c705e881bcb83e7e6faccc,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x764d502e90e852e0862708c5ea13a6a18b23e480,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x80c502f149dcf1403e98df61bf189b2f58c45256,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x905c4f90057fe46584ba8ae629046fcb13ae26b7,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x97eae24ca21fc9c0c5d4c31d12e9100ab50f20ea,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xb8f9b425069580207d9397100d45e62fc63e2507,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x966ec65b8f17552e907334f3b80d74d23391c817,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x9e9bef94795bfe87a11a0369b4e0c3b60a6fcf2b,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x9f8c767a407b74dd35f2916c21114186d5cc8ab2,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xee6cacddd3a9370d87db581ee6728226883578e5,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x1d1a01c8171d1adc74e98fd7d37acc886619d76b,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x3fa170c0673c5ff5375acf68fa2d431d6318111d,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x502435713854f5e92d048d27de95c9ce16dc380d,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x82d0952f3524df3e0f003d6bb231015d312f9164,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xed1dff9aca9703181b22f43b196b3f6d45e011a9,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x29440123f3e3a3edfcf7523d2f4de5cdf0dc6ec8,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x5f7a1a4dafd0718caee1184caa4862543f75edb1,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x50c34995a273075a80c23625f69f40d56ce414de,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x5c58615687802d974b58dc72e88925a4bf3aa673,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x685bfdd3c2937744c13d7de0821c83191e3027ff,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x588ccc955e89c59cb38d11508daad45408e74e0d,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x9321bc6185adc9b9cb503cc211e17cb311c3fa95,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x19a00e359990ec7daf6e9dd9a2fb7664014bb5f7,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
